Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Average_Order_Value
CUST00071,372,3,86782.25,1,1,2,4,Lost Customers,28927.416666666668
CUST00072,217,7,329407.6,2,4,5,11,At Risk,47058.22857142857
CUST00073,78,6,384182.65,4,4,5,13,Champions,64030.44166666667
CUST00074,17,6,145165.19999999998,5,4,3,12,Loyal Customers,24194.199999999997
CUST00075,188,4,120576.20000000001,2,2,2,6,Lost Customers,30144.050000000003
CUST00076,79,5,162851.15,4,3,3,10,Potential Loyalists,32570.23
CUST00077,360,1,303.0,1,1,1,3,Lost Customers,303.0
CUST00078,62,5,292253.6,4,3,4,11,Potential Loyalists,58450.719999999994
CUST00079,77,4,114365.5,4,2,2,8,Potential Loyalists,28591.375
CUST00080,607,3,130288.6,1,1,2,4,Lost Customers,43429.53333333333
CUST00081,41,5,103887.9,5,3,2,10,Potential Loyalists,20777.579999999998
CUST00082,57,4,81431.7,4,2,2,8,Potential Loyalists,20357.925
CUST00083,243,8,461085.35,2,5,5,12,At Risk,57635.66875
CUST00084,99,7,355167.0,3,4,5,12,Loyal Customers,50738.142857142855
CUST00085,139,6,196798.85,3,4,3,10,Loyal Customers,32799.808333333334
CUST00086,93,6,89265.3,4,4,2,10,Loyal Customers,14877.550000000001
CUST00087,448,1,1627.2,1,1,1,3,Lost Customers,1627.2
CUST00088,388,1,701.25,1,1,1,3,Lost Customers,701.25
CUST00089,395,3,234346.6,1,1,4,6,Lost Customers,78115.53333333334
CUST00090,118,11,199872.45,3,5,3,11,Loyal Customers,18170.22272727273
CUST00091,41,3,79460.75,5,1,2,8,Others,26486.916666666668
CUST00092,90,5,93196.3,4,3,2,9,Potential Loyalists,18639.260000000002
CUST00093,114,5,261988.55,3,3,4,10,Others,52397.71
CUST00094,11,2,66810.0,5,1,1,7,Others,33405.0
CUST00095,647,3,78289.35,1,1,2,4,Lost Customers,26096.45
CUST00096,151,2,20647.7,3,1,1,5,Others,10323.85
CUST00097,26,10,362103.0,5,5,5,15,Champions,36210.3
CUST00098,439,3,145787.6,1,1,3,5,Lost Customers,48595.86666666667
CUST00099,55,7,300359.9,4,4,4,12,Champions,42908.55714285715
CUST00100,285,5,190063.0,2,3,3,8,At Risk,38012.6
CUST00101,159,4,285431.6,3,2,4,9,Others,71357.9
CUST00102,592,3,37046.2,1,1,1,3,Lost Customers,12348.733333333332
CUST00103,57,3,62485.95,4,1,1,6,Others,20828.649999999998
CUST00104,130,5,516454.25,3,3,5,11,Others,103290.85
CUST00105,97,9,575938.5,3,5,5,13,Loyal Customers,63993.166666666664
CUST00106,227,3,135177.95,2,1,2,5,Lost Customers,45059.31666666667
CUST00107,43,4,81454.8,4,2,2,8,Potential Loyalists,20363.7
CUST00108,68,8,144437.0,4,5,3,12,Loyal Customers,18054.625
CUST00109,227,4,125111.5,2,2,2,6,Lost Customers,31277.875
CUST00110,15,6,21956.9,5,4,1,10,Loyal Customers,3659.4833333333336
CUST00111,114,5,244399.9,3,3,4,10,Others,48879.979999999996
CUST00112,18,5,241061.30000000002,5,3,4,12,Potential Loyalists,48212.26
CUST00113,398,5,152727.3,1,3,3,7,At Risk,30545.46
CUST00114,12,7,361456.95,5,4,5,14,Champions,51636.70714285714
CUST00115,191,6,218413.25,2,4,4,10,At Risk,36402.208333333336
CUST00116,4,8,242610.7,5,5,4,14,Champions,30326.3375
CUST00117,514,3,141978.25,1,1,3,5,Lost Customers,47326.083333333336
CUST00118,124,8,373581.3,3,5,5,13,Loyal Customers,46697.6625
CUST00119,394,7,206562.05000000002,1,4,3,8,At Risk,29508.864285714288
CUST00120,145,7,154869.0,3,4,3,10,Loyal Customers,22124.14285714286
CUST00121,54,8,203072.85,4,5,3,12,Loyal Customers,25384.10625
CUST00122,229,2,21504.7,2,1,1,4,Lost Customers,10752.35
CUST00123,294,6,291548.14999999997,1,4,4,9,At Risk,48591.35833333333
CUST00124,194,5,234576.5,2,3,4,9,At Risk,46915.3
CUST00125,201,7,122523.3,2,4,2,8,Others,17503.32857142857
CUST00126,3,5,151489.15,5,3,3,11,Potential Loyalists,30297.829999999998
CUST00127,90,3,12954.7,4,1,1,6,Others,4318.233333333334
CUST00128,82,5,131532.59999999998,4,3,2,9,Potential Loyalists,26306.519999999997
CUST00129,113,4,65959.45000000001,3,2,1,6,Others,16489.862500000003
CUST00130,140,2,13314.0,3,1,1,5,Others,6657.0
CUST00131,86,7,397643.35,4,4,5,13,Champions,56806.19285714285
CUST00132,542,4,252022.7,1,2,4,7,Lost Customers,63005.675
CUST00133,237,3,111538.1,2,1,2,5,Lost Customers,37179.36666666667
CUST00134,9,6,121925.1,5,4,2,11,Loyal Customers,20320.850000000002
CUST00135,130,3,155051.3,3,1,3,7,Others,51683.76666666666
CUST00136,249,7,375407.1,2,4,5,11,At Risk,53629.58571428571
CUST00137,33,7,152569.8,5,4,3,12,Loyal Customers,21795.68571428571
CUST00138,23,6,169088.5,5,4,3,12,Loyal Customers,28181.416666666668
CUST00139,6,7,204763.65,5,4,3,12,Loyal Customers,29251.95
CUST00140,239,3,33433.5,2,1,1,4,Lost Customers,11144.5
CUST00141,113,8,167986.75,3,5,3,11,Loyal Customers,20998.34375
CUST00142,155,3,217828.5,3,1,4,8,Others,72609.5
CUST00143,20,3,99785.05,5,1,2,8,Others,33261.683333333334
CUST00144,17,11,729026.25,5,5,5,15,Champions,66275.11363636363
CUST00145,221,5,361084.05,2,3,5,10,At Risk,72216.81
CUST00146,608,1,6004.8,1,1,1,3,Lost Customers,6004.8
CUST00147,130,4,320835.5,3,2,5,10,Others,80208.875
CUST00148,80,4,124607.15000000001,4,2,2,8,Potential Loyalists,31151.787500000002
CUST00149,217,4,17109.95,2,2,1,5,Lost Customers,4277.4875
CUST00150,107,3,60878.850000000006,3,1,1,5,Others,20292.95
CUST00151,85,6,199106.95,4,4,3,11,Loyal Customers,33184.49166666667
CUST00152,99,7,460104.25,3,4,5,12,Loyal Customers,65729.17857142857
CUST00153,264,9,218594.5,2,5,4,11,At Risk,24288.277777777777
CUST00154,166,6,165769.35,3,4,3,10,Loyal Customers,27628.225000000002
CUST00155,113,3,352430.8,3,1,5,9,Others,117476.93333333333
CUST00156,142,5,104340.8,3,3,2,8,Others,20868.16
CUST00157,716,1,19931.4,1,1,1,3,Lost Customers,19931.4
CUST00158,122,4,318578.4,3,2,4,9,Others,79644.6
CUST00159,200,6,380190.05,2,4,5,11,At Risk,63365.00833333333
CUST00160,31,6,118059.3,5,4,2,11,Loyal Customers,19676.55
CUST00161,255,10,343014.35,2,5,5,12,At Risk,34301.435
CUST00162,76,6,429300.35000000003,4,4,5,13,Champions,71550.05833333333
CUST00163,137,7,387905.69999999995,3,4,5,12,Loyal Customers,55415.09999999999
CUST00164,96,4,81845.05,3,2,2,7,Others,20461.2625
CUST00165,104,5,170865.90000000002,3,3,3,9,Others,34173.18000000001
CUST00166,50,8,286502.95,4,5,4,13,Champions,35812.86875
CUST00167,71,5,339312.05,4,3,5,12,Potential Loyalists,67862.41
CUST00168,302,3,183520.19999999998,1,1,3,5,Lost Customers,61173.399999999994
CUST00169,2,4,322416.35,5,2,5,12,Potential Loyalists,80604.0875
CUST00170,243,2,19345.9,2,1,1,4,Lost Customers,9672.95
CUST00171,212,6,472221.54999999993,2,4,5,11,At Risk,78703.59166666666
CUST00172,56,7,94449.04999999999,4,4,2,10,Loyal Customers,13492.721428571427
CUST00173,46,5,139471.5,4,3,3,10,Potential Loyalists,27894.3
CUST00174,793,1,58181.4,1,1,1,3,Lost Customers,58181.4
CUST00175,119,7,407964.1,3,4,5,12,Loyal Customers,58280.58571428571
CUST00176,10,7,526896.35,5,4,5,14,Champions,75270.90714285713
CUST00177,106,3,140589.3,3,1,3,7,Others,46863.1
CUST00178,87,3,304611.39999999997,4,1,4,9,Others,101537.13333333332
CUST00179,128,5,172367.45,3,3,3,9,Others,34473.490000000005
CUST00180,19,12,650453.05,5,5,5,15,Champions,54204.42083333334
CUST00181,425,2,34401.7,1,1,1,3,Lost Customers,17200.85
CUST00182,488,1,108454.4,1,1,2,4,Lost Customers,108454.4
CUST00183,226,3,70661.8,2,1,1,4,Lost Customers,23553.933333333334
CUST00184,24,3,254765.55,5,1,4,10,Others,84921.84999999999
CUST00185,176,3,26740.65,2,1,1,4,Lost Customers,8913.550000000001
CUST00186,180,5,174717.3,2,3,3,8,At Risk,34943.46
CUST00187,137,7,635089.3,3,4,5,12,Loyal Customers,90727.04285714286
CUST00188,768,2,17905.9,1,1,1,3,Lost Customers,8952.95
CUST00189,167,4,112131.8,3,2,2,7,Others,28032.95
CUST00190,114,3,116907.65,3,1,2,6,Others,38969.21666666667
CUST00191,367,3,196476.8,1,1,3,5,Lost Customers,65492.26666666666
CUST00192,51,3,168439.65,4,1,3,8,Others,56146.549999999996
CUST00193,132,5,231630.55,3,3,4,10,Others,46326.11
CUST00194,36,4,75274.09999999999,5,2,1,8,Potential Loyalists,18818.524999999998
CUST00195,171,6,306145.4,2,4,4,10,At Risk,51024.23333333334
CUST00196,18,4,87360.35,5,2,2,9,Potential Loyalists,21840.0875
CUST00197,62,8,145021.2,4,5,3,12,Loyal Customers,18127.65
CUST00198,22,5,258373.3,5,3,4,12,Potential Loyalists,51674.659999999996
CUST00199,121,2,184349.1,3,1,3,7,Others,92174.55
CUST00200,40,5,150899.95,5,3,3,11,Potential Loyalists,30179.99
CUST00201,525,1,75435.0,1,1,1,3,Lost Customers,75435.0
CUST00202,291,5,197758.8,2,3,3,8,At Risk,39551.759999999995
CUST00203,97,6,55160.9,3,4,1,8,Loyal Customers,9193.483333333334
CUST00205,272,4,37550.85,2,2,1,5,Lost Customers,9387.7125
CUST00206,172,4,258785.90000000002,2,2,4,8,Lost Customers,64696.475000000006
CUST00207,10,9,582055.55,5,5,5,15,Champions,64672.838888888895
CUST00208,295,5,84464.15,1,3,2,6,Others,16892.829999999998
CUST00209,137,8,113836.95,3,5,2,10,Loyal Customers,14229.61875
CUST00210,20,8,774361.9,5,5,5,15,Champions,96795.2375
CUST00211,193,4,163636.5,2,2,3,7,Lost Customers,40909.125
CUST00212,196,7,232746.0,2,4,4,10,At Risk,33249.42857142857
CUST00213,35,7,151358.95,5,4,3,12,Loyal Customers,21622.707142857143
CUST00214,81,8,409815.85,4,5,5,14,Champions,51226.98125
CUST00215,164,6,203109.9,3,4,3,10,Loyal Customers,33851.65
CUST00216,232,1,92879.6,2,1,2,5,Lost Customers,92879.6
CUST00217,73,9,372248.7,4,5,5,14,Champions,41360.96666666667
CUST00218,38,6,63153.5,5,4,1,10,Loyal Customers,10525.583333333334
CUST00219,133,7,187560.8,3,4,3,10,Loyal Customers,26794.399999999998
CUST00220,12,9,249791.0,5,5,4,14,Champions,27754.555555555555
CUST00221,225,3,85335.0,2,1,2,5,Lost Customers,28445.0
CUST00222,245,2,55425.9,2,1,1,4,Lost Customers,27712.95
CUST00223,110,6,250752.09999999998,3,4,4,11,Loyal Customers,41792.01666666666
CUST00224,134,3,13902.9,3,1,1,5,Others,4634.3
CUST00225,202,5,31973.6,2,3,1,6,Others,6394.719999999999
CUST00226,276,6,181372.25,2,4,3,9,At Risk,30228.708333333332
CUST00227,6,4,265766.95,5,2,4,11,Potential Loyalists,66441.7375
CUST00228,31,6,328062.95,5,4,5,14,Champions,54677.15833333333
CUST00229,81,5,196612.05000000002,4,3,3,10,Potential Loyalists,39322.41
CUST00230,165,1,59403.5,3,1,1,5,Others,59403.5
CUST00231,78,7,330905.95,4,4,5,13,Champions,47272.27857142857
CUST00232,91,5,237634.9,4,3,4,11,Potential Loyalists,47526.979999999996
CUST00233,53,5,181820.4,4,3,3,10,Potential Loyalists,36364.08
CUST00234,133,6,163458.95,3,4,3,10,Loyal Customers,27243.158333333336
CUST00235,48,6,383068.25,4,4,5,13,Champions,63844.708333333336
CUST00236,146,6,253634.85,3,4,4,11,Loyal Customers,42272.475
CUST00237,26,3,226104.9,5,1,4,10,Others,75368.3
CUST00238,101,7,411881.9,3,4,5,12,Loyal Customers,58840.27142857143
CUST00239,164,6,171719.0,3,4,3,10,Loyal Customers,28619.833333333332
CUST00240,12,4,59045.649999999994,5,2,1,8,Potential Loyalists,14761.412499999999
CUST00241,128,1,17968.8,3,1,1,5,Others,17968.8
CUST00242,20,6,222163.5,5,4,4,13,Champions,37027.25
CUST00243,386,1,178554.4,1,1,3,5,Lost Customers,178554.4
CUST00244,122,7,112229.9,3,4,2,9,Loyal Customers,16032.842857142856
CUST00245,396,3,121269.5,1,1,2,4,Lost Customers,40423.166666666664
CUST00246,537,4,65053.0,1,2,1,4,Lost Customers,16263.25
CUST00247,266,3,172161.5,2,1,3,6,Lost Customers,57387.166666666664
CUST00248,8,6,130174.75,5,4,2,11,Loyal Customers,21695.791666666668
CUST00249,57,8,397904.75,4,5,5,14,Champions,49738.09375
CUST00250,35,7,249095.65,5,4,4,13,Champions,35585.09285714286
CUST00251,203,5,182963.3,2,3,3,8,At Risk,36592.659999999996
CUST00252,131,5,185424.1,3,3,3,9,Others,37084.82
CUST00253,580,2,123515.0,1,1,2,4,Lost Customers,61757.5
CUST00254,195,2,11647.150000000001,2,1,1,4,Lost Customers,5823.575000000001
CUST00255,115,2,170284.85,3,1,3,7,Others,85142.425
CUST00256,75,9,188987.85,4,5,3,12,Loyal Customers,20998.65
CUST00257,15,5,357444.3,5,3,5,13,Potential Loyalists,71488.86
CUST00258,150,5,199692.25,3,3,3,9,Others,39938.45
CUST00259,52,11,341841.75,4,5,5,14,Champions,31076.522727272728
CUST00260,18,5,244628.75,5,3,4,12,Potential Loyalists,48925.75
CUST00261,371,3,151312.6,1,1,3,5,Lost Customers,50437.53333333333
CUST00262,125,6,247657.19999999998,3,4,4,11,Loyal Customers,41276.2
CUST00263,108,4,88247.5,3,2,2,7,Others,22061.875
CUST00264,13,5,235255.2,5,3,4,12,Potential Loyalists,47051.04
CUST00265,60,8,309757.95,4,5,4,13,Champions,38719.74375
CUST00266,110,4,89022.9,3,2,2,7,Others,22255.725
CUST00267,68,6,301950.75,4,4,4,12,Champions,50325.125
CUST00268,101,8,386859.9,3,5,5,13,Loyal Customers,48357.4875
CUST00269,280,2,99409.70000000001,2,1,2,5,Lost Customers,49704.850000000006
CUST00270,100,1,3609.9,3,1,1,5,Others,3609.9
CUST00271,78,3,307262.1,4,1,4,9,Others,102420.7
CUST00272,517,3,50440.6,1,1,1,3,Lost Customers,16813.533333333333
CUST00273,33,2,14318.85,5,1,1,7,Others,7159.425
CUST00274,32,6,111222.75,5,4,2,11,Loyal Customers,18537.125
CUST00275,208,3,188094.2,2,1,3,6,Lost Customers,62698.06666666667
CUST00276,39,4,213867.4,5,2,4,11,Potential Loyalists,53466.85
CUST00277,156,4,149683.7,3,2,3,8,Others,37420.925
CUST00278,262,4,290252.7,2,2,4,8,Lost Customers,72563.175
CUST00279,142,5,289845.05,3,3,4,10,Others,57969.009999999995
CUST00280,64,5,192171.5,4,3,3,10,Potential Loyalists,38434.3
CUST00281,197,5,100903.55000000002,2,3,2,7,Others,20180.710000000003
CUST00282,38,6,575673.8,5,4,5,14,Champions,95945.63333333335
CUST00283,54,7,518612.7,4,4,5,13,Champions,74087.52857142857
CUST00284,42,5,110275.3,4,3,2,9,Potential Loyalists,22055.06
CUST00285,44,9,416546.45,4,5,5,14,Champions,46282.93888888889
CUST00286,39,7,266490.5,5,4,4,13,Champions,38070.07142857143
CUST00287,32,5,414861.55000000005,5,3,5,13,Potential Loyalists,82972.31000000001
CUST00288,90,7,58650.799999999996,4,4,1,9,Loyal Customers,8378.685714285713
CUST00289,186,7,141096.95,2,4,3,9,At Risk,20156.707142857143
CUST00290,223,1,14593.0,2,1,1,4,Lost Customers,14593.0
CUST00291,465,5,212410.09999999998,1,3,4,8,At Risk,42482.02
CUST00292,40,3,82173.09999999999,5,1,2,8,Others,27391.03333333333
CUST00293,285,6,574413.4,2,4,5,11,At Risk,95735.56666666667
CUST00294,37,3,100579.3,5,1,2,8,Others,33526.433333333334
CUST00295,51,4,190589.19999999998,4,2,3,9,Potential Loyalists,47647.299999999996
CUST00296,177,4,112294.0,2,2,2,6,Lost Customers,28073.5
CUST00297,40,7,205127.09999999998,5,4,3,12,Loyal Customers,29303.871428571427
CUST00298,64,5,225029.05,4,3,4,11,Potential Loyalists,45005.81
CUST00299,20,6,328860.95,5,4,5,14,Champions,54810.15833333333
CUST00300,196,6,291168.7,2,4,4,10,At Risk,48528.11666666667
CUST00301,61,6,126136.75,4,4,2,10,Loyal Customers,21022.791666666668
CUST00302,161,4,185518.45,3,2,3,8,Others,46379.6125
CUST00303,149,6,495122.35000000003,3,4,5,12,Loyal Customers,82520.39166666668
CUST00304,159,8,423701.4,3,5,5,13,Loyal Customers,52962.675
CUST00305,56,9,530284.5,4,5,5,14,Champions,58920.5
CUST00306,35,8,199937.65,5,5,3,13,Loyal Customers,24992.20625
CUST00307,85,7,80494.0,4,4,2,10,Loyal Customers,11499.142857142857
CUST00308,39,8,250500.75,5,5,4,14,Champions,31312.59375
CUST00309,47,4,278769.35000000003,4,2,4,10,Potential Loyalists,69692.33750000001
CUST00310,292,2,85166.6,2,1,2,5,Lost Customers,42583.3
CUST00311,23,5,305570.0,5,3,4,12,Potential Loyalists,61114.0
CUST00312,81,6,546593.55,4,4,5,13,Champions,91098.925
CUST00313,108,5,132301.05,3,3,2,8,Others,26460.21
CUST00314,78,7,225056.25,4,4,4,12,Champions,32150.89285714286
CUST00315,119,5,173770.7,3,3,3,9,Others,34754.14
CUST00316,102,2,74255.5,3,1,1,5,Others,37127.75
CUST00317,140,7,110706.0,3,4,2,9,Loyal Customers,15815.142857142857
CUST00318,599,4,77395.55,1,2,2,5,Lost Customers,19348.8875
CUST00319,210,4,520929.6,2,2,5,9,Lost Customers,130232.4
CUST00320,125,5,204364.25,3,3,3,9,Others,40872.85
CUST00321,73,5,471771.3,4,3,5,12,Potential Loyalists,94354.26
CUST00322,27,4,175521.8,5,2,3,10,Potential Loyalists,43880.45
CUST00323,407,6,139966.25,1,4,3,8,At Risk,23327.708333333332
CUST00324,83,5,189023.9,4,3,3,10,Potential Loyalists,37804.78
CUST00325,29,7,328424.5,5,4,5,14,Champions,46917.78571428572
CUST00326,402,4,99667.09999999999,1,2,2,5,Lost Customers,24916.774999999998
CUST00327,267,2,174793.0,2,1,3,6,Lost Customers,87396.5
CUST00328,301,5,107136.5,1,3,2,6,Others,21427.3
CUST00329,7,5,335508.45,5,3,5,13,Potential Loyalists,67101.69
CUST00330,195,5,90564.95,2,3,2,7,Others,18112.989999999998
CUST00331,372,2,95182.65,1,1,2,4,Lost Customers,47591.325
CUST00332,52,5,56489.5,4,3,1,8,Potential Loyalists,11297.9
CUST00333,171,6,211710.5,2,4,4,10,At Risk,35285.083333333336
CUST00334,74,5,35260.1,4,3,1,8,Potential Loyalists,7052.0199999999995
CUST00335,322,3,14286.2,1,1,1,3,Lost Customers,4762.066666666667
CUST00336,120,3,272410.6,3,1,4,8,Others,90803.53333333333
CUST00337,311,4,61810.4,1,2,1,4,Lost Customers,15452.6
CUST00338,89,5,75496.79999999999,4,3,1,8,Potential Loyalists,15099.359999999997
CUST00339,599,4,153601.75,1,2,3,6,Lost Customers,38400.4375
CUST00340,195,5,295724.85,2,3,4,9,At Risk,59144.969999999994
CUST00341,259,3,2044.5,2,1,1,4,Lost Customers,681.5
CUST00342,424,4,266310.0,1,2,4,7,Lost Customers,66577.5
CUST00343,138,4,171250.35,3,2,3,8,Others,42812.5875
CUST00344,150,6,219953.35,3,4,4,11,Loyal Customers,36658.89166666667
CUST00345,186,2,19251.899999999998,2,1,1,4,Lost Customers,9625.949999999999
CUST00346,469,2,10323.2,1,1,1,3,Lost Customers,5161.6
CUST00347,25,8,138784.15,5,5,3,13,Loyal Customers,17348.01875
CUST00348,15,7,268735.35,5,4,4,13,Champions,38390.764285714286
CUST00349,504,7,546136.65,1,4,5,10,At Risk,78019.52142857143
CUST00350,22,4,685711.55,5,2,5,12,Potential Loyalists,171427.8875
CUST00351,395,2,15983.7,1,1,1,3,Lost Customers,7991.85
CUST00352,145,5,335075.8,3,3,5,11,Others,67015.16
CUST00353,13,5,294691.75,5,3,4,12,Potential Loyalists,58938.35
CUST00354,330,3,86623.6,1,1,2,4,Lost Customers,28874.533333333336
CUST00355,97,3,77032.95,3,1,2,6,Others,25677.649999999998
CUST00356,19,5,140104.2,5,3,3,11,Potential Loyalists,28020.840000000004
CUST00357,683,2,86841.3,1,1,2,4,Lost Customers,43420.65
CUST00358,46,5,179734.0,4,3,3,10,Potential Loyalists,35946.8
CUST00359,671,5,162024.85,1,3,3,7,At Risk,32404.97
CUST00360,6,5,218076.2,5,3,4,12,Potential Loyalists,43615.240000000005
CUST00361,59,10,336805.45,4,5,5,14,Champions,33680.545
CUST00362,16,8,573341.75,5,5,5,15,Champions,71667.71875
CUST00363,121,5,174021.65,3,3,3,9,Others,34804.33
CUST00364,234,6,206603.30000000002,2,4,3,9,At Risk,34433.88333333334
CUST00365,71,5,217857.4,4,3,4,11,Potential Loyalists,43571.479999999996
CUST00366,60,2,42160.15,4,1,1,6,Others,21080.075
CUST00367,316,4,178292.7,1,2,3,6,Lost Customers,44573.175
CUST00368,307,4,151943.2,1,2,3,6,Lost Customers,37985.8
CUST00369,183,7,247361.5,2,4,4,10,At Risk,35337.357142857145
CUST00370,168,4,118272.05,3,2,2,7,Others,29568.0125
CUST00371,54,6,253037.8,4,4,4,12,Champions,42172.96666666667
CUST00372,153,3,44899.6,3,1,1,5,Others,14966.533333333333
CUST00373,523,1,14672.7,1,1,1,3,Lost Customers,14672.7
CUST00374,164,4,227505.05,3,2,4,9,Others,56876.2625
CUST00375,153,8,375533.25,3,5,5,13,Loyal Customers,46941.65625
CUST00376,264,3,25365.9,2,1,1,4,Lost Customers,8455.300000000001
CUST00377,49,9,412334.5,4,5,5,14,Champions,45814.944444444445
CUST00378,265,7,403811.30000000005,2,4,5,11,At Risk,57687.32857142858
CUST00379,33,5,383935.35,5,3,5,13,Potential Loyalists,76787.06999999999
CUST00380,169,2,159501.9,3,1,3,7,Others,79750.95
CUST00381,364,2,143400.4,1,1,3,5,Lost Customers,71700.2
CUST00382,48,8,383635.9,4,5,5,14,Champions,47954.4875
CUST00383,454,3,139122.0,1,1,3,5,Lost Customers,46374.0
CUST00384,55,5,205169.6,4,3,3,10,Potential Loyalists,41033.92
CUST00385,199,6,149437.90000000002,2,4,3,9,At Risk,24906.31666666667
CUST00386,122,5,48397.65,3,3,1,7,Others,9679.53
CUST00387,150,9,490010.0,3,5,5,13,Loyal Customers,54445.555555555555
