Customer_ID,Last_Purchase_Date,Frequency,Monetary,Recency,Average_Order_Value,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
CUST00035,2026-01-30,9,179332.1,152,19925.78888888889,2,3,3,233,8,At Risk
CUST00036,2024-10-11,1,15116.4,628,15116.4,1,1,1,111,3,Lost Customers
CUST00037,2026-04-27,7,233578.55,65,33368.364285714284,4,3,3,433,10,Potential Loyalists
CUST00038,2026-04-27,17,662360.9,65,38962.40588235294,4,5,5,455,14,Champions
CUST00039,2025-12-15,1,49098.85,198,49098.85,2,1,1,211,4,Lost Customers
CUST00040,2025-11-22,2,117304.2,221,58652.1,2,1,2,212,5,Lost Customers
CUST00041,2025-02-11,3,43198.35,505,14399.449999999999,1,1,1,111,3,Lost Customers
CUST00042,2026-01-16,3,101234.6,166,33744.86666666667,2,1,2,212,5,Lost Customers
CUST00043,2026-03-23,8,257414.65000000002,100,32176.831250000003,3,3,3,333,9,Others
CUST00044,2026-06-16,6,103931.9,15,17321.983333333334,5,3,2,532,10,Potential Loyalists
CUST00045,2025-02-08,3,95903.1,508,31967.7,1,1,2,112,4,Lost Customers
CUST00046,2024-07-23,2,33260.0,708,16630.0,1,1,1,111,3,Lost Customers
CUST00047,2025-12-26,3,5547.7,187,1849.2333333333333,2,1,1,211,4,Lost Customers
CUST00048,2026-06-25,13,750682.0,6,57744.769230769234,5,4,5,545,14,Champions
CUST00049,2026-05-06,9,304562.85,56,33840.316666666666,4,3,3,433,10,Potential Loyalists
CUST00050,2026-05-31,16,738405.75,31,46150.359375,4,5,5,455,14,Champions
CUST00051,2024-10-27,1,75112.0,612,75112.0,1,1,2,112,4,Lost Customers
CUST00052,2025-11-10,1,1632.6,233,1632.6,2,1,1,211,4,Lost Customers
CUST00053,2024-11-25,3,4989.75,583,1663.25,1,1,1,111,3,Lost Customers
CUST00054,2026-05-20,10,492738.7,42,49273.87,4,4,4,444,12,Champions
CUST00055,2025-01-22,4,195877.7,525,48969.425,1,2,3,123,6,Others
CUST00056,2026-04-27,11,642113.0,65,58373.90909090909,4,4,5,445,13,Champions
CUST00057,2025-01-14,4,255082.25,533,63770.5625,1,2,3,123,6,Others
CUST00058,2026-06-13,12,403423.15,18,33618.59583333333,5,4,4,544,13,Champions
CUST00059,2026-06-18,22,1140747.7,13,51852.16818181818,5,5,5,555,15,Champions
CUST00060,2024-10-12,2,25042.4,627,12521.2,1,1,1,111,3,Lost Customers
CUST00061,2026-02-14,4,138959.2,137,34739.8,3,2,2,322,7,Others
CUST00062,2026-03-04,12,520041.6,119,43336.799999999996,3,4,4,344,11,Loyal Customers
CUST00063,2026-04-21,22,1075465.75,71,48884.806818181816,3,5,5,355,13,Loyal Customers
CUST00064,2026-05-09,28,1659531.05,53,59268.96607142857,4,5,5,455,14,Champions
CUST00065,2026-05-18,5,195703.55,44,39140.71,4,2,3,423,9,Potential Loyalists
CUST00066,2026-06-15,13,459603.95,16,35354.15,5,4,4,544,13,Champions
CUST00067,2024-11-11,1,17668.8,597,17668.8,1,1,1,111,3,Lost Customers
CUST00068,2026-06-04,8,627506.9,27,78438.3625,5,3,5,535,13,Potential Loyalists
CUST00069,2026-06-20,3,44665.7,11,14888.566666666666,5,1,1,511,7,Others
CUST00070,2026-04-16,5,223886.85,76,44777.37,3,2,3,323,8,Others
CUST00071,2026-05-13,9,243971.2,49,27107.911111111112,4,3,3,433,10,Potential Loyalists
CUST00072,2026-03-28,4,74153.2,95,18538.3,3,2,2,322,7,Others
CUST00073,2026-04-02,13,946250.75,90,72788.51923076923,3,4,5,345,12,Loyal Customers
CUST00074,2025-06-15,3,166797.0,381,55599.0,1,1,2,112,4,Lost Customers
CUST00075,2026-05-26,8,158283.55,36,19785.44375,4,3,2,432,9,Potential Loyalists
CUST00076,2024-06-29,2,4489.25,732,2244.625,1,1,1,111,3,Lost Customers
CUST00077,2026-02-13,12,291650.2,138,24304.183333333334,3,4,3,343,10,Loyal Customers
CUST00078,2025-04-04,5,164788.3,453,32957.659999999996,1,2,2,122,5,Lost Customers
CUST00079,2026-03-11,7,226873.4,112,32410.485714285714,3,3,3,333,9,Others
CUST00080,2025-06-05,3,150523.45,391,50174.48333333334,1,1,2,112,4,Lost Customers
CUST00081,2026-05-07,13,465590.05,55,35814.61923076923,4,4,4,444,12,Champions
CUST00082,2026-06-30,3,119031.04999999999,1,39677.01666666666,5,1,2,512,8,Others
CUST00083,2026-03-15,6,415857.8,108,69309.63333333333,3,3,4,334,10,Others
CUST00084,2026-03-06,5,208889.3,117,41777.86,3,2,3,323,8,Others
CUST00085,2026-05-15,12,134284.45,47,11190.370833333334,4,4,2,442,10,Loyal Customers
CUST00086,2026-05-26,10,425985.19999999995,36,42598.52,4,4,4,444,12,Champions
CUST00087,2025-08-29,10,512219.75,306,51221.975,2,4,4,244,10,At Risk
CUST00088,2026-06-22,14,1188402.75,9,84885.91071428571,5,5,5,555,15,Champions
CUST00089,2025-02-08,2,42976.0,508,21488.0,1,1,1,111,3,Lost Customers
CUST00090,2026-04-10,11,348063.2,82,31642.109090909093,3,4,4,344,11,Loyal Customers
CUST00091,2026-02-26,2,100492.2,125,50246.1,3,1,2,312,6,Others
CUST00092,2026-06-25,13,312979.9,6,24075.376923076925,5,4,3,543,12,Loyal Customers
CUST00093,2026-05-18,12,646520.2,44,53876.68333333333,4,4,5,445,13,Champions
CUST00094,2026-05-27,4,131293.1,35,32823.275,4,2,2,422,8,Potential Loyalists
CUST00095,2025-02-10,5,292540.0,506,58508.0,1,2,3,123,6,Others
CUST00096,2026-05-04,7,290664.65,58,41523.52142857143,4,3,3,433,10,Potential Loyalists
CUST00097,2025-09-23,6,166975.2,281,27829.2,2,3,2,232,7,At Risk
CUST00098,2025-06-12,4,29667.7,384,7416.925,1,2,1,121,4,Lost Customers
CUST00099,2025-08-23,3,80058.4,312,26686.13333333333,2,1,2,212,5,Lost Customers
CUST00100,2026-05-13,10,150041.4,49,15004.14,4,4,2,442,10,Loyal Customers
CUST00101,2026-05-26,11,246491.15,36,22408.28636363636,4,4,3,443,11,Loyal Customers
CUST00102,2025-07-20,4,203593.85,346,50898.4625,1,2,3,123,6,Others
CUST00103,2026-05-14,10,515476.4,48,51547.64,4,4,4,444,12,Champions
CUST00104,2025-11-26,7,235031.4,217,33575.91428571429,2,3,3,233,8,At Risk
CUST00105,2025-10-15,5,52122.299999999996,259,10424.46,2,2,1,221,5,Lost Customers
CUST00106,2026-05-05,7,367442.9,57,52491.84285714286,4,3,4,434,11,Potential Loyalists
CUST00107,2026-06-12,18,1045767.15,19,58098.175,5,5,5,555,15,Champions
CUST00108,2026-06-08,18,1303994.3,23,72444.12777777779,5,5,5,555,15,Champions
CUST00109,2026-06-12,4,56422.35,19,14105.5875,5,2,1,521,8,Potential Loyalists
CUST00110,2025-12-27,8,148027.7,186,18503.4625,2,3,2,232,7,At Risk
CUST00111,2025-10-19,5,356992.4,255,71398.48000000001,2,2,4,224,8,Others
CUST00112,2026-04-23,7,448566.45,69,64080.92142857143,4,3,4,434,11,Potential Loyalists
CUST00113,2024-08-09,3,220916.0,691,73638.66666666667,1,1,3,113,5,Others
CUST00114,2026-03-20,5,78016.9,103,15603.38,3,2,2,322,7,Others
CUST00115,2024-10-17,2,5912.0,622,2956.0,1,1,1,111,3,Lost Customers
CUST00116,2026-05-07,24,1237818.4,55,51575.76666666666,4,5,5,455,14,Champions
CUST00117,2024-06-27,1,89316.0,734,89316.0,1,1,2,112,4,Lost Customers
CUST00118,2024-12-21,1,37482.0,557,37482.0,1,1,1,111,3,Lost Customers
CUST00119,2024-12-07,2,36926.05,571,18463.025,1,1,1,111,3,Lost Customers
CUST00120,2026-06-29,22,1012646.65,2,46029.39318181818,5,5,5,555,15,Champions
CUST00121,2026-05-25,5,174084.8,37,34816.96,4,2,3,423,9,Potential Loyalists
CUST00122,2026-01-10,3,42010.15,172,14003.383333333333,2,1,1,211,4,Lost Customers
CUST00123,2026-03-15,4,28526.0,108,7131.5,3,2,1,321,6,Others
CUST00124,2025-03-25,1,3969.0,463,3969.0,1,1,1,111,3,Lost Customers
CUST00125,2026-03-20,11,151129.3,103,13739.027272727271,3,4,2,342,9,Loyal Customers
CUST00126,2026-05-14,5,140082.95,48,28016.590000000004,4,2,2,422,8,Potential Loyalists
CUST00127,2026-05-24,8,298082.0,38,37260.25,4,3,3,433,10,Potential Loyalists
CUST00128,2024-10-30,4,112814.75,609,28203.6875,1,2,2,122,5,Lost Customers
CUST00129,2026-02-19,11,727722.7,132,66156.60909090909,3,4,5,345,12,Loyal Customers
CUST00130,2026-04-07,12,619753.1,85,51646.09166666667,3,4,5,345,12,Loyal Customers
CUST00131,2024-07-29,3,101342.9,702,33780.96666666667,1,1,2,112,4,Lost Customers
CUST00132,2025-08-06,7,307262.8,329,43894.68571428571,1,3,3,133,7,At Risk
CUST00133,2026-05-30,7,147776.9,32,21110.985714285714,4,3,2,432,9,Potential Loyalists
CUST00134,2026-06-18,16,864265.45,13,54016.590625,5,5,5,555,15,Champions
CUST00135,2024-11-08,2,116289.7,600,58144.85,1,1,2,112,4,Lost Customers
CUST00136,2026-05-08,13,407462.45,54,31343.265384615384,4,4,4,444,12,Champions
CUST00137,2026-04-22,5,124112.2,70,24822.44,3,2,2,322,7,Others
CUST00138,2026-05-26,20,747415.15,36,37370.7575,4,5,5,455,14,Champions
CUST00139,2025-11-19,6,453573.30000000005,224,75595.55,2,3,4,234,9,At Risk
CUST00140,2026-06-06,14,680028.65,25,48573.475,5,5,5,555,15,Champions
CUST00141,2026-04-08,4,218154.6,84,54538.65,3,2,3,323,8,Others
CUST00142,2026-04-28,7,306868.45,64,43838.35,4,3,3,433,10,Potential Loyalists
CUST00143,2026-04-12,5,651658.2,80,130331.63999999998,3,2,5,325,10,Others
CUST00144,2026-05-31,14,568879.65,31,40634.260714285716,4,5,4,454,13,Champions
CUST00145,2025-10-04,5,84686.05,270,16937.21,2,2,2,222,6,Lost Customers
CUST00146,2026-06-18,13,466241.4,13,35864.72307692308,5,4,4,544,13,Champions
CUST00147,2026-05-10,12,373988.35,52,31165.69583333333,4,4,4,444,12,Champions
CUST00148,2026-02-07,12,477467.3,144,39788.941666666666,3,4,4,344,11,Loyal Customers
CUST00149,2024-12-27,1,99062.4,551,99062.4,1,1,2,112,4,Lost Customers
CUST00150,2026-02-16,3,127404.65000000001,135,42468.21666666667,3,1,2,312,6,Others
CUST00151,2026-06-16,12,356898.2,15,29741.516666666666,5,4,4,544,13,Champions
CUST00152,2026-06-22,16,779620.55,9,48726.284375,5,5,5,555,15,Champions
CUST00153,2026-03-09,9,332693.0,114,36965.88888888889,3,3,4,334,10,Others
CUST00154,2026-04-10,11,415903.75,82,37809.431818181816,3,4,4,344,11,Loyal Customers
CUST00155,2025-04-13,2,8077.05,444,4038.525,1,1,1,111,3,Lost Customers
CUST00156,2026-06-24,16,800448.2,7,50028.0125,5,5,5,555,15,Champions
CUST00157,2025-09-20,6,364494.0,284,60749.0,2,3,4,234,9,At Risk
CUST00158,2025-07-01,3,9748.2,365,3249.4,1,1,1,111,3,Lost Customers
CUST00159,2026-06-23,4,199328.7,8,49832.175,5,2,3,523,10,Potential Loyalists
CUST00160,2026-05-31,11,417689.10000000003,31,37971.736363636366,4,4,4,444,12,Champions
CUST00161,2025-06-21,4,78405.1,375,19601.275,1,2,2,122,5,Lost Customers
CUST00162,2026-04-21,2,9871.7,71,4935.85,3,1,1,311,5,Others
CUST00163,2026-03-31,7,442373.5,92,63196.21428571428,3,3,4,334,10,Others
CUST00164,2026-05-22,7,243809.35,40,34829.90714285714,4,3,3,433,10,Potential Loyalists
CUST00165,2026-05-30,6,211871.8,32,35311.96666666667,4,3,3,433,10,Potential Loyalists
CUST00166,2025-06-02,2,53645.399999999994,394,26822.699999999997,1,1,1,111,3,Lost Customers
CUST00167,2026-05-13,18,1338701.25,49,74372.29166666667,4,5,5,455,14,Champions
CUST00168,2026-05-01,7,246734.80000000002,61,35247.828571428574,4,3,3,433,10,Potential Loyalists
CUST00169,2025-11-30,5,179372.85,213,35874.57,2,2,3,223,7,Others
CUST00170,2025-10-26,2,25765.2,248,12882.6,2,1,1,211,4,Lost Customers
CUST00171,2026-05-10,27,1538811.1,52,56993.003703703704,4,5,5,455,14,Champions
CUST00172,2026-04-05,10,407969.1,87,40796.909999999996,3,4,4,344,11,Loyal Customers
CUST00173,2026-06-06,5,227054.25,25,45410.85,5,2,3,523,10,Potential Loyalists
CUST00174,2025-07-21,6,69270.45,345,11545.074999999999,1,3,1,131,5,At Risk
CUST00175,2026-06-01,15,1042309.95,30,69487.33,4,5,5,455,14,Champions
CUST00176,2026-06-19,14,805488.5,12,57534.892857142855,5,5,5,555,15,Champions
CUST00177,2026-02-04,8,379179.8,147,47397.475,2,3,4,234,9,At Risk
CUST00178,2024-11-03,2,19917.9,605,9958.95,1,1,1,111,3,Lost Customers
CUST00179,2026-03-20,12,631707.6,103,52642.299999999996,3,4,5,345,12,Loyal Customers
CUST00180,2026-05-23,4,76950.65,39,19237.6625,4,2,2,422,8,Potential Loyalists
CUST00181,2025-08-27,11,166905.3,308,15173.20909090909,2,4,2,242,8,At Risk
CUST00182,2026-04-08,6,154004.95,84,25667.49166666667,3,3,2,332,8,Others
CUST00183,2025-08-22,10,251187.75,313,25118.775,2,4,3,243,9,At Risk
CUST00184,2026-05-21,7,267459.0,41,38208.42857142857,4,3,3,433,10,Potential Loyalists
CUST00185,2026-06-02,10,277812.6,29,27781.26,5,4,3,543,12,Loyal Customers
CUST00186,2026-02-20,15,610409.1000000001,131,40693.94000000001,3,5,5,355,13,Loyal Customers
CUST00187,2026-06-16,8,412813.85,15,51601.73125,5,3,4,534,12,Potential Loyalists
CUST00188,2026-05-22,19,831421.8,40,43759.04210526316,4,5,5,455,14,Champions
CUST00189,2026-03-22,9,203834.94999999998,101,22648.327777777777,3,3,3,333,9,Others
CUST00190,2026-02-09,4,189306.4,142,47326.6,3,2,3,323,8,Others
CUST00191,2026-06-18,11,423891.9,13,38535.62727272727,5,4,4,544,13,Champions
CUST00192,2026-06-22,8,414846.1,9,51855.7625,5,3,4,534,12,Potential Loyalists
CUST00193,2026-05-25,15,418551.05,37,27903.403333333332,4,5,4,454,13,Champions
CUST00194,2026-06-06,13,901805.15,25,69369.62692307692,5,4,5,545,14,Champions
CUST00195,2026-03-17,10,440559.35,106,44055.935,3,4,4,344,11,Loyal Customers
CUST00196,2025-06-10,1,6650.0,386,6650.0,1,1,1,111,3,Lost Customers
CUST00197,2025-04-16,3,40642.2,441,13547.4,1,1,1,111,3,Lost Customers
CUST00198,2026-06-07,12,969787.55,24,80815.62916666667,5,4,5,545,14,Champions
CUST00199,2026-04-30,2,48137.2,62,24068.6,4,1,1,411,6,Others
CUST00200,2026-05-24,11,400363.1,38,36396.645454545454,4,4,4,444,12,Champions
CUST00201,2025-06-11,3,306953.15,385,102317.71666666667,1,1,3,113,5,Others
CUST00202,2025-12-24,3,186222.2,189,62074.06666666667,2,1,3,213,6,Others
CUST00203,2025-08-31,1,14560.5,304,14560.5,2,1,1,211,4,Lost Customers
CUST00204,2026-03-13,4,154521.0,110,38630.25,3,2,2,322,7,Others
CUST00205,2026-05-21,15,1192337.8,41,79489.18666666668,4,5,5,455,14,Champions
CUST00206,2025-01-13,3,112562.9,534,37520.96666666667,1,1,2,112,4,Lost Customers
CUST00207,2026-06-10,11,200121.45,21,18192.859090909093,5,4,3,543,12,Loyal Customers
CUST00208,2026-03-08,18,746890.9500000001,115,41493.94166666667,3,5,5,355,13,Loyal Customers
CUST00209,2026-04-06,3,221186.69999999998,86,73728.9,3,1,3,313,7,Others
CUST00210,2026-02-20,6,210372.74999999997,131,35062.12499999999,3,3,3,333,9,Others
CUST00211,2026-06-13,19,982662.0,18,51719.05263157895,5,5,5,555,15,Champions
CUST00212,2026-06-17,14,462249.35,14,33017.81071428571,5,5,4,554,14,Champions
CUST00213,2025-04-12,2,48092.4,445,24046.2,1,1,1,111,3,Lost Customers
CUST00214,2025-09-26,6,255378.84999999998,278,42563.14166666666,2,3,3,233,8,At Risk
CUST00215,2026-01-26,2,64882.25,156,32441.125,2,1,1,211,4,Lost Customers
CUST00216,2026-04-29,23,1580438.1,63,68714.7,4,5,5,455,14,Champions
CUST00217,2025-07-30,5,111118.5,336,22223.7,1,2,2,122,5,Lost Customers
CUST00218,2025-08-16,4,188702.85,319,47175.7125,1,2,3,123,6,Others
CUST00219,2026-06-13,1,9988.2,18,9988.2,5,1,1,511,7,Others
CUST00220,2026-06-02,25,894905.9,29,35796.236000000004,5,5,5,555,15,Champions
CUST00221,2024-09-07,1,111670.0,662,111670.0,1,1,2,112,4,Lost Customers
CUST00222,2025-12-15,2,82718.0,198,41359.0,2,1,2,212,5,Lost Customers
CUST00223,2026-05-27,6,416721.25,35,69453.54166666667,4,3,4,434,11,Potential Loyalists
CUST00224,2026-02-17,4,325054.6,134,81263.65,3,2,4,324,9,Others
CUST00225,2025-12-20,3,26571.25,193,8857.083333333334,2,1,1,211,4,Lost Customers
CUST00226,2026-03-17,10,274606.85,106,27460.684999999998,3,4,3,343,10,Loyal Customers
CUST00227,2025-12-23,8,212198.95,190,26524.86875,2,3,3,233,8,At Risk
CUST00228,2026-06-10,13,926398.7,21,71261.43846153846,5,4,5,545,14,Champions
CUST00229,2026-04-02,4,56651.3,90,14162.825,3,2,1,321,6,Others
CUST00230,2026-06-02,9,304241.95,29,33804.66111111111,5,3,3,533,11,Potential Loyalists
CUST00231,2026-05-05,20,732766.2,57,36638.31,4,5,5,455,14,Champions
CUST00232,2026-03-22,9,524020.35,101,58224.48333333333,3,3,4,334,10,Others
CUST00233,2025-12-23,12,722109.15,190,60175.762500000004,2,4,5,245,11,At Risk
CUST00234,2026-01-31,8,375458.8,151,46932.35,2,3,4,234,9,At Risk
CUST00235,2026-06-26,11,426681.75,5,38789.25,5,4,4,544,13,Champions
CUST00236,2026-06-03,12,780598.5,28,65049.875,5,4,5,545,14,Champions
CUST00237,2026-03-19,16,1003424.4,104,62714.025,3,5,5,355,13,Loyal Customers
CUST00238,2026-05-09,6,212633.80000000002,53,35438.96666666667,4,3,3,433,10,Potential Loyalists
CUST00239,2024-12-04,3,60892.95,574,20297.649999999998,1,1,1,111,3,Lost Customers
CUST00240,2026-05-07,2,31992.2,55,15996.1,4,1,1,411,6,Others
CUST00241,2026-01-29,8,139322.1,153,17415.2625,2,3,2,232,7,At Risk
CUST00242,2026-05-09,17,766885.15,53,45110.89117647059,4,5,5,455,14,Champions
CUST00243,2026-05-31,7,152618.0,31,21802.571428571428,4,3,2,432,9,Potential Loyalists
CUST00244,2026-05-23,20,831622.6,39,41581.13,4,5,5,455,14,Champions
CUST00245,2026-06-23,16,571529.1,8,35720.56875,5,5,4,554,14,Champions
CUST00246,2026-02-21,7,180848.5,130,25835.5,3,3,3,333,9,Others
CUST00247,2026-05-02,26,735281.0,60,28280.03846153846,4,5,5,455,14,Champions
CUST00248,2026-04-24,9,194472.5,68,21608.055555555555,4,3,3,433,10,Potential Loyalists
CUST00249,2026-05-05,9,315624.5,57,35069.38888888889,4,3,3,433,10,Potential Loyalists
CUST00250,2026-02-10,2,81528.35,141,40764.175,3,1,2,312,6,Others
CUST00251,2026-06-10,9,293005.1,21,32556.12222222222,5,3,3,533,11,Potential Loyalists
CUST00252,2024-05-18,2,51169.5,774,25584.75,1,1,1,111,3,Lost Customers
CUST00253,2026-05-01,13,876537.8,61,67425.98461538462,4,4,5,445,13,Champions
CUST00254,2026-02-21,3,186255.34999999998,130,62085.11666666666,3,1,3,313,7,Others
CUST00255,2026-01-24,9,313857.95,158,34873.10555555556,2,3,3,233,8,At Risk
CUST00256,2026-05-02,5,250184.4,60,50036.88,4,2,3,423,9,Potential Loyalists
CUST00257,2026-05-03,9,348605.3,59,38733.92222222222,4,3,4,434,11,Potential Loyalists
CUST00258,2026-05-31,31,1522573.55,31,49115.27580645162,4,5,5,455,14,Champions
CUST00259,2026-06-09,17,771795.5,22,45399.73529411765,5,5,5,555,15,Champions
CUST00260,2026-03-22,5,274700.55,101,54940.11,3,2,3,323,8,Others
CUST00261,2026-04-11,4,265164.6,81,66291.15,3,2,3,323,8,Others
CUST00262,2025-11-24,6,271405.0,219,45234.166666666664,2,3,3,233,8,At Risk
CUST00263,2025-09-06,3,79831.6,298,26610.533333333336,2,1,2,212,5,Lost Customers
CUST00264,2026-05-24,3,123345.5,38,41115.166666666664,4,1,2,412,7,Others
CUST00265,2026-05-16,15,706974.4500000001,46,47131.630000000005,4,5,5,455,14,Champions
CUST00266,2026-04-11,10,414982.55,81,41498.255,3,4,4,344,11,Loyal Customers
CUST00267,2025-11-03,5,87363.05,240,17472.61,2,2,2,222,6,Lost Customers
CUST00268,2025-08-20,1,113972.4,315,113972.4,1,1,2,112,4,Lost Customers
CUST00269,2025-03-16,1,36286.4,472,36286.4,1,1,1,111,3,Lost Customers
CUST00270,2025-11-10,11,585632.4,233,53239.30909090909,2,4,4,244,10,At Risk
CUST00271,2025-09-09,5,46139.9,295,9227.98,2,2,1,221,5,Lost Customers
CUST00272,2025-05-18,3,78250.6,409,26083.533333333336,1,1,2,112,4,Lost Customers
CUST00273,2026-06-20,10,249257.8,11,24925.78,5,4,3,543,12,Loyal Customers
CUST00274,2026-04-07,14,571086.55,85,40791.89642857143,3,5,4,354,12,Loyal Customers
CUST00275,2025-12-01,4,206681.0,212,51670.25,2,2,3,223,7,Others
CUST00276,2026-01-11,11,548765.65,171,49887.78636363637,2,4,4,244,10,At Risk
CUST00277,2025-10-02,9,309585.85000000003,272,34398.42777777778,2,3,3,233,8,At Risk
CUST00278,2026-02-19,12,407841.15,132,33986.762500000004,3,4,4,344,11,Loyal Customers
CUST00279,2025-09-12,3,19887.4,292,6629.133333333334,2,1,1,211,4,Lost Customers
CUST00280,2026-05-04,15,570624.15,58,38041.61,4,5,4,454,13,Champions
CUST00281,2025-07-06,5,110027.0,360,22005.4,1,2,2,122,5,Lost Customers
CUST00282,2025-05-29,7,233727.1,398,33389.58571428571,1,3,3,133,7,At Risk
CUST00283,2026-03-24,10,389737.89999999997,99,38973.78999999999,3,4,4,344,11,Loyal Customers
CUST00284,2025-08-19,2,4934.65,316,2467.325,1,1,1,111,3,Lost Customers
CUST00285,2024-11-09,3,3991.0,599,1330.3333333333333,1,1,1,111,3,Lost Customers
CUST00286,2025-10-14,5,317630.4,260,63526.08,2,2,3,223,7,Others
CUST00287,2026-06-14,4,64036.65,17,16009.1625,5,2,1,521,8,Potential Loyalists
CUST00288,2025-12-30,5,48938.299999999996,183,9787.66,2,2,1,221,5,Lost Customers
CUST00289,2026-06-25,30,1278723.1500000001,6,42624.105,5,5,5,555,15,Champions
CUST00290,2026-05-02,7,154520.09999999998,60,22074.299999999996,4,3,2,432,9,Potential Loyalists
CUST00291,2025-11-19,4,63164.05,224,15791.0125,2,2,1,221,5,Lost Customers
CUST00292,2025-06-28,4,197479.5,368,49369.875,1,2,3,123,6,Others
CUST00293,2026-06-29,16,606344.7,2,37896.54375,5,5,5,555,15,Champions
CUST00294,2026-03-25,21,820666.5,98,39079.357142857145,3,5,5,355,13,Loyal Customers
CUST00295,2026-03-03,11,154440.35,120,14040.031818181818,3,4,2,342,9,Loyal Customers
CUST00296,2026-05-21,6,56020.65,41,9336.775,4,3,1,431,8,Potential Loyalists
CUST00297,2024-09-01,2,13453.2,668,6726.6,1,1,1,111,3,Lost Customers
CUST00298,2026-05-08,7,663542.85,54,94791.83571428571,4,3,5,435,12,Potential Loyalists
CUST00299,2026-02-08,3,89342.79999999999,143,29780.93333333333,3,1,2,312,6,Others
CUST00300,2025-07-21,1,8304.9,345,8304.9,1,1,1,111,3,Lost Customers
CUST00301,2026-06-22,19,624209.85,9,32853.15,5,5,5,555,15,Champions
CUST00302,2026-02-25,6,260976.6,126,43496.1,3,3,3,333,9,Others
CUST00303,2025-06-09,5,107791.3,387,21558.260000000002,1,2,2,122,5,Lost Customers
CUST00304,2025-02-22,3,154419.80000000002,494,51473.26666666667,1,1,2,112,4,Lost Customers
CUST00305,2025-10-16,4,14422.25,258,3605.5625,2,2,1,221,5,Lost Customers
CUST00306,2026-03-16,9,364079.85000000003,107,40453.31666666667,3,3,4,334,10,Others
CUST00307,2026-04-24,11,213285.55,68,19389.595454545455,4,4,3,443,11,Loyal Customers
CUST00308,2025-10-03,7,353251.45,271,50464.49285714286,2,3,4,234,9,At Risk
CUST00309,2026-06-13,22,1005486.95,18,45703.95227272727,5,5,5,555,15,Champions
